,Review,Review_only_text,neg,pos,neu,compound,Negative,Positive
12,Arrived in good shape. It is really easy to program once you have read the instructions.can be used for the control of of heating or cooling devices.Works as described. Best to get one already having the electrical cords mounted on it. They are much better quality than a cheap extension cord which others say to cut up and use.Instructions can be hard to read for some I am told. Don't panic.Just plug it in and follow along while pushing the programming buttons and practice with it and in a few minutes you will have it figured out.If it had a better design for mounting I would give it five stars.Idea to improved it would be casting high power magnets  into the plastic case and having four through the case holes for screws. The magnets would be nice for sticking it to the side or back of a freezer and still allow you to take it off to read easily.I used wire to hang it on the back of my freezers running the wire through the hinges.,Arrived in good shape It is really easy to program once you have read the instructions can be used for the control of of heating or cooling devices Works as described Best to get one already having the electrical cords mounted on it They are much better quality than a cheap extension cord which others say to cut up and use Instructions can be hard to read for some I am told Don t panic Just plug it in and follow along while pushing the programming buttons and practice with it and in a few minutes you will have it figured out If it had a better design for mounting I would give it five stars Idea to improved it would be casting high power magnets into the plastic case and having four through the case holes for screws The magnets would be nice for sticking it to the side or back of a freezer and still allow you to take it off to read easily I used wire to hang it on the back of my freezers running the wire through the hinges,0.035,0.127,0.838,0.9601,False,True
13,"Like several reviewers have stated, the directions are a little foggy to read in the beginning. I bought this so that I would be able to turn a older fridge into a fermentation chamber. I must say that after reading SEVERAL forums and SEVERAL YouTube videos, I was confident enough to give it a shot in my cold garage. I hooked this up to a small space heater inside of my fridge and set it at around 50 degrees with the probe attached to the side of a small container of water. After 24 hours, I checked the temp of the water with another digital thermometer, and I achieved the exact temp that I had set this for. My opinion is that if you attach this to the volume of water(beer) that you have fermenting in your application, you will achieve more accurate temps than just measuring the ambient air of your fermentation chamber. I would not hesitate buying this again!",Like several reviewers have stated the directions are a little foggy to read in the beginning I bought this so that I would be able to turn a older fridge into a fermentation chamber I must say that after reading SEVERAL forums and SEVERAL YouTube videos I was confident enough to give it a shot in my cold garage I hooked this up to a small space heater inside of my fridge and set it at around degrees with the probe attached to the side of a small container of water After hours I checked the temp of the water with another digital thermometer and I achieved the exact temp that I had set this for My opinion is that if you attach this to the volume of water beer that you have fermenting in your application you will achieve more accurate temps than just measuring the ambient air of your fermentation chamber I would not hesitate buying this again,0.0,0.052,0.948,0.7786,False,True
14,"I used this gadget to retrofit a small fridge I own that could not seem to be set properly.  Either the fridge would be too cold and freeze things, or it would not be cold enough.  I drilled a 1/4 inch hole in the side wall of the fridge to pass the thermostat sensor inside my fridge.  I set the fridge on the coldest setting, and plugged the power cord into the Johnson Controls unit.  I set the temperature to the desired set-point, and voila, my beer is perfectly cold without being frozen EVER.  Some day when the fridge gives up the ghost, I will salvage the controller and use it on the next fridge.  A great unit that I would recommend without reservation.  Built like a tank too.",I used this gadget to retrofit a small fridge I own that could not seem to be set properly Either the fridge would be too cold and freeze things or it would not be cold enough I drilled a inch hole in the side wall of the fridge to pass the thermostat sensor inside my fridge I set the fridge on the coldest setting and plugged the power cord into the Johnson Controls unit I set the temperature to the desired set point and voila my beer is perfectly cold without being frozen EVER Some day when the fridge gives up the ghost I will salvage the controller and use it on the next fridge A great unit that I would recommend without reservation Built like a tank too,0.034,0.109,0.857,0.8654,False,True
15,"Does a great job at managing the temperature on my fermentation chamber.  I hooked this up to a small Danby chest freezer, just large enough to fit each of my fermentation vessels individually.  Setup was fast and fairly straightforward.  A quick look through the manual will acquaint you with the abbreviations in the menu and what you need to adjust to maintain your target temperature within a specified range.  The temperature probe cable is quite long, and there's even mounting instructions if you would like to make it a permanent fixture on whatever you're using it on.  No complaints",Does a great job at managing the temperature on my fermentation chamber I hooked this up to a small Danby chest freezer just large enough to fit each of my fermentation vessels individually Setup was fast and fairly straightforward A quick look through the manual will acquaint you with the abbreviations in the menu and what you need to adjust to maintain your target temperature within a specified range The temperature probe cable is quite long and there s even mounting instructions if you would like to make it a permanent fixture on whatever you re using it on No complaints,0.048,0.089,0.863,0.6369,False,True
16,"I was looking for something to moderate the temp of my beer fridge, since the little spinning dial / sliding mechanism didn't cut it.  The first thing I saw was temp controls, but they required electrical work and splicing wires.  Pass.Then I saw this, and it works perfectly.  You just plug it into your electrical outlet and then plug the fridge into this, and it turns it off and on based on the probe temp.If I had to complain about something I would say that the probe wire is a bit thick.  I didn't want to drill into my fridge, so this just hangs in the door and the thickness does break the seal on the door slightly.  Also, the probe is not rated to be waterproof, which is problematic when I am trying to maintain the temp of a liquid (beer) not the air temp.  I stick mine in a cup of water anyway, and have had no problems though.",I was looking for something to moderate the temp of my beer fridge since the little spinning dial sliding mechanism didn t cut it The first thing I saw was temp controls but they required electrical work and splicing wires Pass Then I saw this and it works perfectly You just plug it into your electrical outlet and then plug the fridge into this and it turns it off and on based on the probe temp If I had to complain about something I would say that the probe wire is a bit thick I didn t want to drill into my fridge so this just hangs in the door and the thickness does break the seal on the door slightly Also the probe is not rated to be waterproof which is problematic when I am trying to maintain the temp of a liquid beer not the air temp I stick mine in a cup of water anyway and have had no problems though,0.09,0.044,0.866,-0.7633,True,False
17,"I love when products work as advertised - so refreshing.A little background: I've had my under cabinet Kegerator for a couple years now and over the past 6 months, with the cooling dial set to the LOWEST, it was far too cold for beer (and FROZE solid any other liquid kept in the unit). I resorted to turning the dial OFF, then ON every couple days in a lame attempt to regulate the temperature.Heard about these thermostat controls and figured I'd give them a try. The installation was very simple - I drilled into the left side panel of the Kegerator, fed the sensor cable through and sealed both sides with a caulk-sealant. The thermostat set up was simple as well: set the new thermostat control at 38 degrees and the differential at 4 degrees. Within hours, it was toggling the unit off and on as it hovered between 34 and 42 degrees.Perfect solution!The only reason I rated 4 stars was because the supplier sent the wrong (non-digital) unit. They were very responsive and helpful in sending the correct unit with a return label for the wrong unit.",I love when products work as advertised so refreshing A little background I ve had my under cabinet Kegerator for a couple years now and over the past months with the cooling dial set to the LOWEST it was far too cold for beer and FROZE solid any other liquid kept in the unit I resorted to turning the dial OFF then ON every couple days in a lame attempt to regulate the temperature Heard about these thermostat controls and figured I d give them a try The installation was very simple I drilled into the left side panel of the Kegerator fed the sensor cable through and sealed both sides with a caulk sealant The thermostat set up was simple as well set the new thermostat control at degrees and the differential at degrees Within hours it was toggling the unit off and on as it hovered between and degrees Perfect solution The only reason I rated stars was because the supplier sent the wrong non digital unit They were very responsive and helpful in sending the correct unit with a return label for the wrong unit,0.064,0.073,0.862,0.1817,False,True
18,"Excellent product and a helpful seller.  They accidentally sent me the wrong controller.  I responded with an email and they offered to cut the price on the one they sent, or to exchange it.  I went for the exchange and it was very quick with an apology.Ad for the controller, I love it.  I use it to run a keezer in my basement.  It has the ability to set a range if temperatures and a minimum time before it kicks back on so that I can extend the life of my compressor.  Fairly easy to figure out too.  I would definitely recommend it.",Excellent product and a helpful seller They accidentally sent me the wrong controller I responded with an email and they offered to cut the price on the one they sent or to exchange it I went for the exchange and it was very quick with an apology Ad for the controller I love it I use it to run a keezer in my basement It has the ability to set a range if temperatures and a minimum time before it kicks back on so that I can extend the life of my compressor Fairly easy to figure out too I would definitely recommend it,0.067,0.205,0.728,0.9378,False,True
19,"I used it to control 2 Ferm Wrap heaters and it worked perfectly. I put the sensor in 1 fermentation bucket (drilled a hole through a solid rubber cork and forced it through for a air tight seat, then drilled an appropriate sized hole in the fermentation bucket for the cork to fit air tight), and used a ""3 way"" on the cord to enable the ability to plug in 2 heaters (one on each fermentation bucket). The monitoring of the temp on one bucket was adequate to keep the temp the same on the second bucket. Don't forget to read the directions and make the initial adjustment to the Thermostat to set it up for warming if you are using it for this. It comes set up to regulate cooling, but it is easy to set it up for warming.",I used it to control Ferm Wrap heaters and it worked perfectly I put the sensor in fermentation bucket drilled a hole through a solid rubber cork and forced it through for a air tight seat then drilled an appropriate sized hole in the fermentation bucket for the cork to fit air tight and used a way on the cord to enable the ability to plug in heaters one on each fermentation bucket The monitoring of the temp on one bucket was adequate to keep the temp the same on the second bucket Don t forget to read the directions and make the initial adjustment to the Thermostat to set it up for warming if you are using it for this It comes set up to regulate cooling but it is easy to set it up for warming,0.014,0.121,0.864,0.8788,False,True
20,"I started homebrewing lagers earlier this year. The first batch was a black lager that had a primary fermentation of 2 weeks, and a lagering period of 4 weeks. To keep it in the proper temperature range, I would have to shuffle it back and forth from my fridge in the basement and a slightly warmer corner nearby. It wasn't difficult, but it was a hassle. I had been eyeing this thermostat for a while and finally ordered it. It comes with an instruction booklet that is very thorough, but is confusing at first. After going over it a couple of times, it made more sense and I programmed it for the next batch. It has been working perfectly and now I don't need to do the carboy shuffle at all and if I am gone for the weekend, I don't have to be worried that it may fall out of the proper temp range. One less variable to be worried about.",I started homebrewing lagers earlier this year The first batch was a black lager that had a primary fermentation of weeks and a lagering period of weeks To keep it in the proper temperature range I would have to shuffle it back and forth from my fridge in the basement and a slightly warmer corner nearby It wasn t difficult but it was a hassle I had been eyeing this thermostat for a while and finally ordered it It comes with an instruction booklet that is very thorough but is confusing at first After going over it a couple of times it made more sense and I programmed it for the next batch It has been working perfectly and now I don t need to do the carboy shuffle at all and if I am gone for the weekend I don t have to be worried that it may fall out of the proper temp range One less variable to be worried about,0.051,0.056,0.893,0.2164,False,True
21,"This thermostat really works well for converting a chest freezer into an outdoor keg box.  Even on the hottest of days this thermostat keeps your beer at exactly the perfect temperature to ward off the summer heat.  If you're considering putting a kegerator outside, go with a freezer and this thermostat, instead.  There are complaints all over the internet from people who have put keg refrigerators outside, only to find that they can't keep up with the summer heat, leaving them with warm beer on a hot day.  Yum!  A freezer will not have that problem and will, in turn, save you money because it doesn't have to run all the time to keep your beer crispy cool and delicious on a hot day.  The initial setup cost is quite a lot less expensive, too.",This thermostat really works well for converting a chest freezer into an outdoor keg box Even on the hottest of days this thermostat keeps your beer at exactly the perfect temperature to ward off the summer heat If you re considering putting a kegerator outside go with a freezer and this thermostat instead There are complaints all over the internet from people who have put keg refrigerators outside only to find that they can t keep up with the summer heat leaving them with warm beer on a hot day Yum A freezer will not have that problem and will in turn save you money because it doesn t have to run all the time to keep your beer crispy cool and delicious on a hot day The initial setup cost is quite a lot less expensive too,0.019,0.139,0.843,0.9435,False,True
